model, language, method, Passed, Assertion, Compilation, Timeout, Runtime
incoder1b, java, Nominal, 2.44, 31.1, 58.54, 1.83, 6.1
incoder1b, java, Partial, 32.93, 31.71, 30.49, 1.83, 3.05
incoder1b, java, DocString, 2.9, 33.3, 57.32, 0.95, 5.52
incoder1b, java, Syntax, 27.66, 25.79, 41.97, 1.73, 2.85
incoder1b, java, Format, 31.04, 31.87, 33.15, 0.96, 2.99
incoder1b, java, Function, 2.85, 34.47, 55.63, 1.06, 6.0
incoder1b, cpp, Nominal, 10.37, 60.37, 29.27, 0.0, 0.0
incoder1b, cpp, Partial, 10.37, 62.2, 26.22, 0.61, 0.61
incoder1b, cpp, DocString, 8.57, 55.95, 34.54, 0.67, 0.27
incoder1b, cpp, Syntax, 7.95, 45.79, 44.92, 1.1, 0.24
incoder1b, cpp, Format, 8.68, 58.68, 31.18, 1.14, 0.33
incoder1b, cpp, Function, 9.13, 59.09, 30.71, 0.89, 0.17
incoder1b, js, Nominal, 7.93, 55.49, 35.98, 0.61, 0.0
incoder1b, js, Partial, 38.41, 48.78, 12.8, 0.0, 0.0
incoder1b, js, DocString, 6.8, 49.07, 42.21, 1.91, 0.0
incoder1b, js, Syntax, 28.64, 43.15, 27.28, 0.93, 0.0
incoder1b, js, Format, 31.75, 46.52, 21.02, 0.71, 0.0
incoder1b, js, Function, 7.89, 54.55, 35.71, 1.85, 0.0
incoder6b, java, Nominal, 10.98, 55.49, 26.83, 0.61, 6.1
incoder6b, java, Partial, 44.51, 42.07, 9.15, 1.83, 2.44
incoder6b, java, DocString, 8.17, 51.13, 32.07, 1.04, 7.59
incoder6b, java, Syntax, 36.67, 28.39, 31.4, 0.59, 2.95
incoder6b, java, Format, 39.19, 35.87, 20.55, 0.96, 3.43
incoder6b, java, Function, 8.6, 55.06, 27.05, 0.83, 8.46
incoder6b, cpp, Nominal, 12.2, 62.8, 22.56, 0.61, 1.83
incoder6b, cpp, Partial, 17.07, 63.41, 17.68, 0.61, 1.22
incoder6b, cpp, DocString, 11.37, 60.74, 26.67, 0.44, 0.78
incoder6b, cpp, Syntax, 12.32, 50.63, 35.69, 1.14, 0.22
incoder6b, cpp, Format, 14.76, 62.54, 20.51, 1.24, 0.96
incoder6b, cpp, Function, 11.43, 64.39, 22.56, 0.52, 1.1
incoder6b, js, Nominal, 12.8, 63.41, 23.17, 0.61, 0.0
incoder6b, js, Partial, 43.9, 44.51, 11.59, 0.0, 0.0
incoder6b, js, DocString, 11.27, 62.72, 25.49, 0.52, 0.0
incoder6b, js, Syntax, 32.78, 41.32, 24.84, 1.06, 0.0
incoder6b, js, Format, 38.78, 40.24, 20.61, 0.37, 0.0
incoder6b, js, Function, 12.2, 64.43, 22.97, 0.41, 0.0
codegen2bmulti, java, Nominal, 12.8, 69.51, 9.15, 0.61, 7.93
codegen2bmulti, java, Partial, 56.1, 35.98, 5.49, 0.61, 1.83
codegen2bmulti, java, DocString, 12.43, 65.2, 14.16, 1.0, 7.22
codegen2bmulti, java, Syntax, 40.59, 32.93, 22.28, 0.57, 3.64
codegen2bmulti, java, Format, 52.36, 36.38, 7.72, 0.43, 3.11
codegen2bmulti, java, Function, 12.56, 68.43, 10.93, 1.02, 7.05
codegen2bmulti, cpp, Nominal, 12.2, 68.29, 18.29, 0.61, 0.61
codegen2bmulti, cpp, Partial, 12.8, 67.07, 17.07, 1.83, 1.22
codegen2bmulti, cpp, DocString, 12.87, 63.46, 22.45, 0.78, 0.44
codegen2bmulti, cpp, Syntax, 12.09, 56.38, 30.18, 1.08, 0.26
codegen2bmulti, cpp, Format, 14.61, 66.18, 16.95, 1.06, 1.2
codegen2bmulti, cpp, Function, 12.63, 67.3, 18.87, 0.71, 0.49
codegen2bmulti, js, Nominal, 12.8, 60.98, 25.61, 0.61, 0.0
codegen2bmulti, js, Partial, 39.02, 43.9, 17.07, 0.0, 0.0
codegen2bmulti, js, DocString, 10.51, 49.71, 39.04, 0.74, 0.0
codegen2bmulti, js, Syntax, 29.07, 40.08, 29.94, 0.91, 0.0
codegen2bmulti, js, Format, 35.59, 44.13, 19.72, 0.57, 0.0
codegen2bmulti, js, Function, 12.01, 56.1, 31.04, 0.85, 0.0
codegen6bmulti, java, Nominal, 15.85, 66.46, 5.49, 1.22, 10.98
codegen6bmulti, java, Partial, 53.66, 38.41, 4.27, 0.0, 3.66
codegen6bmulti, java, DocString, 13.0, 57.46, 21.95, 1.37, 6.22
codegen6bmulti, java, Syntax, 39.09, 28.8, 28.05, 0.71, 3.35
codegen6bmulti, java, Format, 52.42, 35.14, 9.19, 0.28, 2.97
codegen6bmulti, java, Function, 12.46, 61.4, 18.9, 0.77, 6.46
codegen6bmulti, cpp, Nominal, 14.02, 67.07, 17.07, 1.22, 0.61
codegen6bmulti, cpp, Partial, 21.95, 65.24, 10.98, 0.61, 1.22
codegen6bmulti, cpp, DocString, 13.9, 65.6, 18.7, 1.11, 0.7
codegen6bmulti, cpp, Syntax, 14.8, 55.53, 28.17, 1.28, 0.22
codegen6bmulti, cpp, Format, 19.37, 65.71, 12.66, 0.96, 1.3
codegen6bmulti, cpp, Function, 13.34, 69.58, 14.77, 1.36, 0.94
codegen6bmulti, js, Nominal, 16.46, 48.78, 33.54, 1.22, 0.0
codegen6bmulti, js, Partial, 43.9, 37.8, 17.68, 0.61, 0.0
codegen6bmulti, js, DocString, 12.88, 42.85, 43.57, 0.7, 0.0
codegen6bmulti, js, Syntax, 33.46, 39.04, 26.99, 0.51, 0.0
codegen6bmulti, js, Format, 35.63, 42.8, 21.36, 0.2, 0.0
codegen6bmulti, js, Function, 14.74, 47.36, 37.05, 0.85, 0.0
